Station,Magnitude,Rjb,Rup,vs30,Max. Aceleration (g),Max. Velocity (cm/sec),Max. Displacement (cm),Vmax / Amax: (sec),Acceleration RMS: (g),Velocity RMS: (cm/sec),Displacement RMS: (cm),Arias Intensity: (m/sec),Characteristic Intensity (Ic),Specific Energy Density (cm2/sec),Cumulative Absolute Velocity (cm/sec),Acceleration Spectrum Intensity (g*sec),Velocity Spectrum Intensity (cm),Housner Intensity (cm),Sustained Maximum Acceleration (g),Sustained Maximum Velocity (cm/sec),Effective Design Acceleration (g),A95 parameter (g),Max Incremental Velocity (cm/sec),Damage Index((g)^c),IP Index,"Sa,avg (g)",Standarized CAV (g*sec),Period (sec),Amplitude (cm/sec),Pulse Indicator (r)
RSN77_SFERN_PUL164,6.61,0,1.81,2016.13,1.21904,114.47103,39.01919,0.09572,0.11799,15.20024,9.74063,8.94762,0.26175,9636.98202,2104.50792,0.85586,378.32022,352.95092,0.93619,56.4269,1.19252,0.79237,139.10189,19.55573,18.00892,0.87367,1.95838,1.54,114.25382,0.6952 [pulse-like]
RSN77_SFERN_PUL254,6.61,0,1.81,2016.13,1.23832,57.27904,12.80136,0.04715,0.11261,8.74847,2.63969,8.1507,0.24406,3192.30394,1997.00041,0.83321,260.05069,227.90445,0.71306,48.71101,1.08512,0.77147,98.631,18.14933,34.23658,0.57875,1.83948,1.34,56.69073,0.63285 [ambiguous]
RSN143_TABAS_TAB-L1,7.35,1.79,2.05,766.77,0.85398,98.84753,37.53233,0.11799,0.15252,21.20858,13.36722,11.82173,0.34206,14834.5304,3119.28367,0.815,344.23363,328.48682,0.65636,76.37069,0.85753,0.59693,112.60931,21.52621,30.29797,0.81509,3.1144,2.96,143.73157,0.58527 [ambiguous]
RSN143_TABAS_TAB-T1,7.35,1.79,2.05,766.77,0.86176,123.40428,93.6364,0.14597,0.15242,33.20948,27.73501,11.80722,0.34175,36372.63361,3096.66132,0.93667,309.26757,300.32322,0.64529,103.76537,0.90201,0.59892,116.63411,21.0752,24.05995,0.75818,3.09895,3.98,84.05063,0.69568 [pulse-like]
RSN147_COYOTELK_G02050,5.73,8.47,9.02,270.84,0.19082,10.27772,2.92205,0.0549,0.02632,2.12663,0.55741,0.28698,0.02214,121.5439,372.58513,0.18022,45.79956,40.31939,0.14887,9.29375,0.1989,0.14598,16.476,0.56161,36.55616,0.10602,0.22261,1.02,10.10913,0.43902 [non pulse-like]
RSN147_COYOTELK_G02140,5.73,8.47,9.02,270.84,0.25555,31.93287,5.71804,0.12738,0.03516,3.75225,0.87872,0.5115,0.03416,378.10243,408.35769,0.28772,105.78588,93.46313,0.21163,10.41438,0.25627,0.20955,35.51234,0.75745,12.91998,0.23368,0.27638,1.2,31.01292,0.80327 [pulse-like]
RSN148_COYOTELK_G03050,5.73,6.75,7.42,349.85,0.25182,17.63273,4.7159,0.07138,0.03106,3.81385,1.14825,0.39884,0.02835,390.25346,418.99744,0.1935,79.87443,77.03124,0.15522,14.95334,0.25915,0.18761,32.59217,0.64168,23.97105,0.19019,0.28257,1.04,14.10066,0.68349 [pulse-like]
RSN148_COYOTELK_G03140,5.73,6.75,7.42,349.85,0.25637,29.57846,6.33654,0.11761,0.03061,3.69039,0.98867,0.38758,0.02775,365.46587,411.36896,0.21678,101.80128,83.33922,0.19336,8.8108,0.25411,0.18766,32.75365,0.59016,14.02364,0.20603,0.2575,1.08,27.53644,0.78358 [pulse-like]
RSN149_COYOTELK_G04270,5.73,4.79,5.7,221.78,0.23291,25.79086,3.56682,0.11288,0.03858,3.87951,0.99253,0.62341,0.03951,409.07464,568.4282,0.22316,85.72039,70.7996,0.19647,15.41778,0.23337,0.18284,37.61801,0.688,22.18948,0.16879,0.43186,0.98,24.6977,0.52372 [non pulse-like]
RSN149_COYOTELK_G04360,5.73,4.79,5.7,221.78,0.25167,31.83518,5.24314,0.12895,0.03459,4.18434,1.00039,0.50149,0.03355,476.32443,540.89989,0.22693,97.86515,88.86972,0.13759,9.99999,0.25074,0.19026,48.37125,0.55036,17.08231,0.21241,0.39006,1.12,23.23727,0.71151 [pulse-like]
RSN150_COYOTELK_G06230,5.73,0.42,3.11,663.31,0.42178,44.34843,12.44406,0.10718,0.04309,5.30757,1.55988,0.77491,0.04655,763.1323,432.98474,0.25695,157.86229,137.64354,0.19261,10.58639,0.41665,0.34206,71.32936,0.86188,9.89265,0.32824,0.32692,0.92,43.03474,0.88185 [pulse-like]
RSN150_COYOTELK_G06320,5.73,0.42,3.11,663.31,0.31884,25.39576,4.38051,0.08119,0.0403,3.08992,0.6173,0.67831,0.04212,258.73976,414.75181,0.38521,87.95782,74.89555,0.27389,16.37597,0.31333,0.25603,34.40182,1.07362,16.56138,0.18671,0.31284,1.4,13.09495,0.63796 [ambiguous]
RSN159_IMPVALL.H_H-AGR003,6.53,0,0.65,242.05,0.28726,34.93556,9.36137,0.12397,0.0469,5.87659,2.00001,0.96366,0.05416,981.81062,824.75139,0.17512,128.1854,123.21279,0.20058,15.61568,0.26958,0.17436,45.24065,2.69825,22.63224,0.29304,0.71476,2.04,30.06503,0.76710 [pulse-like]
RSN159_IMPVALL.H_H-AGR273,6.53,0,0.65,242.05,0.19134,41.67998,11.60605,0.22205,0.04221,6.69439,2.35473,0.78047,0.04624,1274.08809,732.17086,0.15277,151.97125,144.85943,0.17685,19.15122,0.19094,0.13777,52.92906,1.44983,17.21667,0.3195,0.61554,1.82,36.12828,0.77896 [pulse-like]
RSN161_IMPVALL.H_H-BRA225,6.53,8.54,10.42,208.71,0.16261,36.60738,25.67789,0.22949,0.02308,7.7736,6.64433,0.31088,0.02158,2288.74089,503.16095,0.1321,76.23902,89.05725,0.13843,26.83055,0.16719,0.11155,48.07763,0.47669,13.83716,0.19511,0.28127,3.9,36.24876,0.78118 [pulse-like]
RSN161_IMPVALL.H_H-BRA315,6.53,8.54,10.42,208.71,0.21952,40.93847,16.24961,0.1901,0.02773,5.79809,4.95879,0.44884,0.02842,1273.10746,544.79969,0.20398,96.73038,96.13416,0.19023,12.76832,0.22217,0.16574,50.2275,0.64789,13.43004,0.23461,0.33103,2.9,39.43452,0.65511 [pulse-like]
RSN170_IMPVALL.H_H-ECC002,6.53,7.31,7.31,192.05,0.21204,38.43942,16.99015,0.1848,0.03502,7.7394,5.45629,0.75563,0.04144,2395.63336,716.39221,0.19709,144.73419,142.57426,0.18204,27.24245,0.20901,0.15479,65.68032,0.70711,18.77093,0.32223,0.52223,1.36,37.40625,0.48074 [non pulse-like]
RSN170_IMPVALL.H_H-ECC092,6.53,7.31,7.31,192.05,0.23542,73.38541,48.00651,0.31775,0.03465,11.8723,10.72879,0.74011,0.0408,5637.35494,733.88508,0.16636,145.16557,154.0207,0.16484,30.82911,0.23013,0.16739,62.7713,0.46165,10.06232,0.33774,0.51149,3.96,64.92338,0.81077 [pulse-like]
RSN171_IMPVALL.H_H-EMO000,6.53,0.07,0.07,264.57,0.3172,72.94515,34.92213,0.23442,0.03751,8.93232,6.92738,0.86703,0.04594,3191.05479,669.7322,0.21557,174.21816,177.92051,0.23475,26.1335,0.31306,0.23061,73.47643,0.52863,9.26429,0.40304,0.46735,3.1,59.71021,0.83367 [pulse-like]
RSN171_IMPVALL.H_H-EMO270,6.53,0.07,0.07,264.57,0.29758,92.61452,34.50472,0.31725,0.04233,14.4505,7.37793,1.10429,0.05508,8351.63313,765.63503,0.225,222.84013,246.48479,0.17975,38.96093,0.29929,0.24819,144.52886,0.39711,8.33394,0.4957,0.55965,3.08,63.79905,0.88984 [pulse-like]
